_id,Idade,T_freq_bar_rest,Cidade,Bairro_bh,Regional,Estado_pais,restricao,outro_restricao,freq_aliment_rotina,freq_aliment_lazer,estab_rotina,estab_lazer,culinaria_fav,outra_culinaria,qtde_bar_rest_bh,disr_bar_rest,pratos_mineira,oferta_prato_mineiro_qualidade,cerveja_cachaca,cerv_cach1,cerv_cach2,cerv_cach3,facilidade_cerv_cach,local_compra_cerv_cach,outro_local_cerv_cach,motivo_nao,motivo_viagem,pernoites_qt,culinaria_decisao_viagem,T_aval_qualidadepratos,T_aval_horariofuncionamento,T_aval_infraestrutura,T_aval_atendimento,T_aval_diversidade,T_aval_apresetacao,T_aval_custobeneficio,T_percepcaobaresrest,T_expec_bh,prato_unico_bh,qual_prato,recomendacao,satisfeitocombares_rest_perto_casa,nao_porque,facilidade_comidatipicamin,principal_dificuldade,Variedade_Culinaria,Decoracao_conforto,Estacionamento,Entretenimento,Refeio,Atendimento,Limpeza,Custo_Benefcio,Apresentao_pratos,fonte_informacao,outras_fontes,festival_gastronomico,motivo_nao_festival,companhia_restaurantes_bares,gasto_medio_gastro,genero,renda_familiar,grau_instrucao
92,24,"",Belo Horizonte,Belvedere,Centro-sul,MG,Vegetariano,"",Raramente,Raramente,Restaurante A La carte,Bares (petiscos e afins),Mexicana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Vaca atolada,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",310,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,5,,5,5,5,5,Sites especializados,"",Sim,"",Conjuge/namorado(a),50,Feminino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Superior incompleto
93,25,"",Belo Horizonte,Sion,Centro-sul,MG,Nao,"",Raramente,1 dia por semana,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Mexicana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",311,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,5,5,5,5,5,5,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a),50,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior incompleto
94,18,"",Belo Horizonte,Savassi,Centro-sul,MG,Nao,"",1 vez por mes,3 vezes por mes,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Chinesa,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",312,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,,5,5,5,5,5,5,Google,"",Nao,falta de informacao,Demais familiares,50,Masculino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Medio completo
95,49,"",Belo Horizonte,Lourdes ,Centro-sul,MG,Nao,"",5 dias por semana,1 vez por mes,Restaurante Self-service,Restaurante Self-service,Mexicana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de conhecimento,"",313,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Em termos- os bares sao bons mas restaurantes nem tanto,"",Media facilidade,"",4,2,4,4,3,4,4,4,3,Amigos e familiares,"",Sim,"",Demais familiares,20,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior incompleto
96,26,"",Belo Horizonte,Cruzeiro,Centro-sul,MG,Nao,"",4 dias por semana,2 vezes por mes,Restaurante Self-service,Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,ora pro nobis ,Sim- principalmente os bares,Nao,"","","","","","",Falta de conhecimento,"",314,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",5,5,5,4,4,4,4,4,3,Redes sociais,"",Nao,falta de informacao,Amigos,15,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior incompleto
97,63,"",Belo Horizonte,Savassi,Centro-sul,MG,Nao,"",Raramente,Raramente,Restaurante A La carte,Restaurante A La carte,Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Pao de queijo,Sim- principalmente os restaurantes,Sim,Cachaca Salinas,"","",Sim,Cervejaria/cachacaria/loja de produtos tipicos,"","","",315,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,,,5,5,5,5,5,5,Amigos e familiares,"",Nao,NS/NI,Demais familiares,NS/NI,Feminino,Nao respondeu,Superior completo
98,26,"",Belo Horizonte,Funcionarios,Centro-sul,MG,Nao,"",Raramente,3 vezes por mes,Restaurantes de Buffet,Fast-foods;Bares (petiscos e afins),Japonesa,"",Ambos Suficientes,Muito concentrado em alguns bairros,Pao de queijo,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",316,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,,5,5,5,5,5,Sites especializados,"",Nao,falta de informacao,Amigos,60,Masculino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Superior incompleto
99,21,"",Belo Horizonte,Carmo,Centro-sul,MG,Nao,"",Nunca,3 vezes por mes,NA,Bares (petiscos e afins),Mexicana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",317,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",5,5,5,5,5,5,5,5,5,Redes sociais,"",Nao,falta de informacao,Conjuge/namorado(a),40,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior incompleto
100,42,"",Belo Horizonte,Sion,Centro-sul,MG,Nao,"",5 dias por semana,3 vezes por mes,Restaurantes de Buffet,Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Sim,Cacacha Vale Verde,"","",Nao,Cervejaria/cachacaria/loja de produtos tipicos,"","","",318,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,5,5,5,5,5,5,Amigos e familiares,"",Sim,"",Conjuge/namorado(a) e filhos,70,Masculino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Mestrado /Doutorado
101,20,"",Belo Horizonte,Anchieta,Centro-sul,MG,Nao,"",Raramente,4 dias por semana,Restaurantes de Buffet,Bares (petiscos e afins),Japonesa,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Tutu; feijao tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",319,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,5,5,5,5,5,5,Amigos e familiares,"",Sim,"",Conjuge/namorado(a),30,Feminino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Superior incompleto
102,18,"",Belo Horizonte,Barro Preto,Centro-sul,MG,Nao,"",3 dias por semana,2 dias por semana,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Mineira Tipica,"",Ambos Insuficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Frango com quiabo,Sim- principalmente os bares,Nao,"","","","","","",Falta de divulgacao por parte dos estabelecimentos,"",320,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,4,3,5,5,5,4,3,4,Redes sociais;Google,"",Nao,precos elevados,Amigos,23,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Tecnico
103,23,"",Belo Horizonte,Anchieta,Centro-sul,MG,Nao,"",Raramente,3 vezes por mes,Fast-foods,Bares (petiscos e afins),Chinesa,"",Ambos Suficientes,Os bares sao mais concentrados mas restaurantes nao,Pao de queijo,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",321,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",4,3,4,5,5,5,3,4,4,Amigos e familiares;Redes sociais,"",Nao,falta de informacao,Amigos,25,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
104,23,"",Belo Horizonte,Savassi,Centro-sul,MG,Nao,"",4 dias por semana,1 dia por semana,Restaurante A La carte,Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de oportunidade,"",322,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,5,5,5,5,5,5,4,Amigos e familiares,"",Nao,falta de informacao,Conjuge/namorado(a),40,Feminino,Entre 7 SM e 10 SM (R$ 6.678 a R$ 9.540),Superior incompleto
105,18,"",Belo Horizonte,Santa Ines,Leste,MG,Nao,"",Raramente,Raramente,Fast-foods,Fast-foods,Cozinha Variara,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Bolos doces ,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Nao sabe,"",60,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,,,,5,4,,,4,Amigos e familiares,"",Nao,falta de informacao,Demais familiares,30,Feminino,Nao possui renda,Medio incompleto
106,23,"",Belo Horizonte,Sao Geraldo,Leste,MG,Nao,"",Raramente,2 vezes por mes,Restaurante Self-service;Fast-foods,Restaurante A La carte;Fast-foods,Italiana,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Frango com quiabo,Sim- principalmente os restaurantes,Nao,"","","","","","",Prefere outras bebidas,"",61,"","","","","","","","","","","","",Nao recomendo,Em termos- os bares sao bons mas restaurantes nem tanto,"",Media facilidade,"",4,3,4,4,5,3,3,5,4,Amigos e familiares;Redes sociais;Google,"",Nao,NS/NI,Amigos,60,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior incompleto
107,50,"",Belo Horizonte,Saudade,Leste,MG,Nao,"",Raramente,Raramente,Fast-foods,Fast-foods,Italiana,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Bebo pouco,"",62,"","","","","","","","","","","","",Nao recomendo,Nao sabe,"",Alta facilidade,"",5,,,,5,4,,4,4,Google,"",Nao,NS/NI,Demais familiares,20,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Fundamental  incompleto
108,23,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",Nunca,3 vezes por mes,NA,Fast-foods,Cozinha Variada,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Tropeiro feijoada goiabada,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",63,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,,4,5,4,3,4,4,Amigos e familiares,"",Nao,NS/NI,Amigos,30,Masculino,Nao possui renda,Medio completo
109,64,"",Belo Horizonte,Santa Tereza,Leste,MG,Outro,Diabetes,Raramente,Raramente,Restaurante A La carte,Restaurante A La carte,Cozinha Variada,"",Ambos Suficientes,Os restaurantes sao concentrados mas bares nao,Arroz e Piqui,Sim- principalmente os restaurantes,Sim,Nao sabe; nao lembra,"","",Sim,Cervejaria/cachacaria/loja de produtos tipicos,"","","",64,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,,,,5,,,4,,Amigos e familiares,"",Nao,outros,Conjuge/namorado(a) e filhos,30,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Fundamental  completo
110,18,"",Belo Horizonte,Taquaril,Leste,MG,Nao,"",Raramente,3 vezes por mes,Fast-foods,Restaurante A La carte;Restaurante Self-service,Cozinha Variada,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",65,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",4,4,,3,5,5,5,5,5,Nao sabe,"",Nao,falta de informacao,Demais familiares,100,Feminino,Nao possui renda,Medio incompleto
111,23,"",Belo Horizonte,Vila Uniao,Leste,MG,Nao,"",6 dias por semana,Raramente,Restaurante Self-service,Bares (petiscos e afins),Cozinha Variada,"",Ambos Suficientes,Muito concentrado em alguns bairros,Tutu com ovo,Sim- principalmente os bares,Sim,Nao sabe; nao lembra,"","",Sim,Bar,"","","",66,"","","","","","","","","","","","",Nao recomendo,Nao,infraestrutura em geral,Alta facilidade,"",4,3,5,3,4,4,4,4,4,Amigos e familiares,"",Sim,"",Conjuge/namorado(a),75,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio incompleto
112,46,"",Belo Horizonte,Floresta,Leste,MG,Outro,Evita comer muito,Raramente,Raramente,Restaurante A La carte,Restaurante A La carte,Natural,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Biscoitos caseiros,Sim- principalmente os restaurantes,Nao,"","","","","","",NS/NI,"",67,"","","","","","","","","","","","",Nao recomendo,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,5,2,3,5,4,4,4,3,Amigos e familiares,"",Sim,"",Demais familiares,70,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior completo
113,34,"",Belo Horizonte,Sagrada Familia,Leste,MG,Nao,"",Raramente,1 dia por semana,Restaurante Self-service,Restaurante A La carte,Japonesa,"",Ambos Suficientes,Muito concentrado em alguns bairros,Pao de queijo biscoite de polvilho,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",164,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,4,4,3,4,4,4,3,3,Amigos e familiares,"",Nao,NS/NI,Conjuge/namorado(a) e filhos,60,Feminino,Nao possui renda,Medio completo
114,54,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",Raramente,1 dia por semana,Restaurante A La carte;NA,Restaurante A La carte,Outra,Frutos do mar,Ambos Suficientes,Muito concentrado em alguns bairros,Oropronobis com Quiabo,Sim- principalmente os restaurantes,Sim,Guaraciaba,"","",Sim,Mercados/Feira,"","","",165,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,3,3,3,5,4,3,3,4,Amigos e familiares,"",Nao,outros,Conjuge/namorado(a) e filhos,90,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior completo
115,57,"",Belo Horizonte,Sagrada Familia,Leste,MG,Nao,"",6 dias por semana,2 dias por semana,Restaurante A La carte;Restaurante Self-service;Restaurantes de Buffet,Restaurante A La carte,Nordestina Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,figado com Jill; Costela com canjiquinha; moela ,Sim- tanto bares quanto restaurantes,Sim,Cacacha Vale Verde,"","",Sim,Bar;Supermercados,"","","",166,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,5,3,3,4,5,5,4,5,Sites especializados,"",Sim,"",Amigos,50,Masculino,Nao respondeu,Pos-graduacao /Especializacao/MBA
116,51,"",Belo Horizonte,Santa Ines,Leste,MG,Nao,"",Raramente,1 dia por semana,NA,Restaurante A La carte,Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",167,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,3,2,3,4,5,4,3,4,Redes sociais,"",Nao,NS/NI,Demais familiares,100,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior incompleto
117,38,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",Nunca,1 dia por semana,NA,Bares (petiscos e afins),Mexicana,"",Ambos Suficientes,Muito concentrado em alguns bairros,Tropeiro TuTu carne de porco; pao de queijo; biscoito de polvilho,Sim- principalmente os bares,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",168,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,4,3,4,5,4,4,4,4,Amigos e familiares;Jornais,"",Sim,"",Amigos,50,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Tecnico
118,46,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",5 dias por semana,1 dia por semana,Restaurante Self-service,Restaurante A La carte,Outra,Churrasco,Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Leitao a pururuca/ carne de Porco,Sim- principalmente os restaurantes,Sim,Falke beer,Coluna,"",NS/NI,Bar;Cervejaria/cachacaria/loja de produtos tipicos,"","","",169,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Em termos- os bares sao bons mas restaurantes nem tanto,"",Alta facilidade,"",5,3,2,3,5,4,3,2,3,Amigos e familiares,"",Sim,"",Amigos,40,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior completo
119,55,"",Belo Horizonte,Sao Geraldo,Leste,MG,Vegetariano,"",Nunca,1 vez por mes,NA,Restaurante Self-service,Natural,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Arroz com Feijao ,Sim- principalmente os restaurantes,Sim,Nao sabe; nao lembra,"","",NS/NI,Cervejaria/cachacaria/loja de produtos tipicos,"","","",170,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,3,,,4,3,3,3,,Amigos e familiares;Redes sociais,"",Sim,"",Amigos,30,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
120,28,"",Belo Horizonte,Esplanada ,Leste,MG,Nao,"",7 dias por semana,3 dias por semana,Restaurante A La carte;Restaurante Self-service;Restaurantes de Buffet,Bares (petiscos e afins),Cozinha Variada,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijoada ,Sim- tanto bares quanto restaurantes,Sim,Guarapan,"","",Sim,Supermercados,"","","",171,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Nao,localizacao,Alta facilidade,"",5,5,2,5,5,5,5,5,5,Amigos e familiares,"",Sim,"",Amigos,40,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Superior incompleto
121,47,"",Belo Horizonte,Santa Ines,Leste,MG,Outro,Frutos do mar,4 dias por semana,2 dias por semana,Restaurante Self-service,Restaurante A La carte,Mineira Tipica,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Tropeiro; frango com quiabo,Sim- principalmente os restaurantes,Sim,Capa Preta,Kud,Veraci,NS/NI,Nao sabe,"","","",172,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",4,3,2,3,4,3,3,3,5,Amigos e familiares;Redes sociais,"",Sim,"",Conjuge/namorado(a) e filhos,25,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Pos-graduacao /Especializacao/MBA
122,55,"",Belo Horizonte,Sagrada Familia,Leste,MG,Nao,"",7 dias por semana,Raramente,Restaurante Self-service,Restaurante A La carte;Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Muito concentrado em alguns bairros,Frango com quiabo; vaca atolada; carne cozida com mandioca; dobradinha,Sim- principalmente os restaurantes,Nao,"","","","","","",Falta de informacao,"",173,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Baixa facilidade,Por causa dos dias que encontra os pratos em alguns lugares,3,3,2,5,4,3,3,5,3,Outros,Procurando e olhando pela aparencia do local,Nao,falta de informacao,Demais familiares,30,Masculino,Entre 3 SM e 5 SM (R$ 2.862 a R$ 4.770),Medio incompleto
123,41,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",6 dias por semana,Raramente,Restaurante Self-service,Restaurante A La carte,Gaucha Tipica,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Feijoada,Sim- principalmente os restaurantes,Sim,Nao sabe; nao lembra,"","",NS/NI,Cervejaria/cachacaria/loja de produtos tipicos,"","","",174,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",5,5,,5,5,5,5,5,,Amigos e familiares;Google,"",Sim,"",Amigos,100,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior completo
124,27,"",Belo Horizonte,Granja de Freitas ,Leste,MG,Nao,"",Raramente,3 vezes por mes,Restaurante Self-service,Restaurante A La carte,Mineira Tipica,"",Ambos Insuficientes,Nao sabe,Feijao Tropeiro,Sim- principalmente os restaurantes,Sim,Mate Couro,"","",Sim,Bar,"","","",175,"","","","","","","","","","","","",Sim- especialmente restaurantes que sirvam comida mineira,Sim- consigo encontrar bons bares e restaurantes,"",Alta facilidade,"",4,4,3,4,4,3,3,3,4,Amigos e familiares,"",Nao,precos elevados,Conjuge/namorado(a),40,Feminino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Medio completo
125,47,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",Raramente,3 vezes por mes,NA,Restaurante A La carte,Tailandesa,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Doce de abobora,Sim- principalmente os restaurantes,Nao,"","","","","","",Bebe vinho,"",245,"","","","","","","","","","","","",Sim- geralmente outros estabelecimentos,Em termos- os restaurantes sao bons mas os bares nem tanto,"",Alta facilidade,"",4,3,2,2,4,3,3,3,2,Amigos e familiares;Redes sociais;Google,"",Nao,NS/NI,Demais familiares,100,Feminino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Superior completo
126,52,"",Belo Horizonte,Alto Vera Cruz ,Leste,MG,Nao,"",Nunca,3 vezes por mes,NA,Bares (petiscos e afins),Cozinha Variara,"",Ambos Suficientes,Acho que existem bares e restaurantes em toda a cidade,Pao de queijo,Sim- principalmente os bares,Nao,"","","","","","",Precos elevados,"",323,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Em termos- os bares sao bons mas restaurantes nem tanto,"",Media facilidade,"",3,3,2,4,4,4,5,2,3,Amigos e familiares,"",Sim,"",Amigos,45,Masculino,Ate 1 SM (R$ 954),Medio incompleto
127,35,"",Belo Horizonte,Santa Tereza,Leste,MG,Nao,"",5 dias por semana,Raramente,Restaurante Self-service,Fast-foods;Bares (petiscos e afins),Cozinha Variara,"",Ambos Suficientes,Muito concentrado em alguns bairros,Tutu com costelinha,Sim- principalmente os restaurantes,Sim,Backer ,Walls,Seletissima,Sim,Bar;Restaurante,"","","",324,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",4,3,2,3,4,3,4,4,4,Amigos e familiares;Redes sociais;Sites especializados;Google,"",Sim,"",Amigos,150,Masculino,Entre 5 SM e 7 SM (R$ 4.770 a R$ 6.678),Pos-graduacao /Especializacao/MBA
128,18,"",Belo Horizonte,Santa Efigenia ,Leste,MG,Nao,"",3 dias por semana,1 vez por mes,Fast-foods,Restaurante Self-service;Bares (petiscos e afins),Mineira Tipica,"",Ambos Suficientes,Percebo maior concentracao em alguns bairros mas a oferta existe em todos os lugares que vou,Frango com quiabo,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",325,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Sim- consigo encontrar bons bares e restaurantes,"",Media facilidade,"",5,4,,5,5,5,5,4,4,Google,"",Nao,outros,Demais familiares,40,Masculino,Nao possui renda,Medio incompleto
129,52,"",Belo Horizonte,Sao Geraldo,Leste,MG,Nao,"",Nunca,Raramente,NA,NA,Cozinha Variara,"",Ambos Suficientes,Muito concentrado em alguns bairros,Feijao Tropeiro,Sim- principalmente os restaurantes,Nao,"","","","","","",Nao bebe/nao consome/nao gosta,"",326,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Nao,infraestrutura em geral,Media facilidade,"",4,4,3,3,4,4,4,4,4,Amigos e familiares,"",Nao,infraestrutura em geral,Amigos,30,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Fundamental  completo
130,27,"",Belo Horizonte,Nova Vista,Leste,MG,Nao,"",Raramente,1 dia por semana,Restaurante A La carte;Fast-foods,Bares (petiscos e afins),Italiana,"",Bares suficientes/ restaurantes insuficientes,Muito concentrado em alguns bairros,Quiabo com carne porco angu,Sim- principalmente os restaurantes,Sim,Dama da noite,"","",Sim,Mercados/Feira,"","","",327,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Em termos- os bares sao bons mas restaurantes nem tanto,"",Media facilidade,"",4,3,3,3,4,4,2,4,3,Amigos e familiares;Redes sociais;Google,"",Sim,"",Amigos,70,Masculino,Entre 1 SM e 3 SM (R$ 954 a R$ 2.862),Tecnico
131,42,"",Belo Horizonte,Caetano Furquim,Leste,MG,Nao,"",6 dias por semana,Raramente,Outros,Bares (petiscos e afins),Mineira Tipica,"",Bares suficientes/ restaurantes insuficientes,Os bares sao mais concentrados mas restaurantes nao,Costela com cebola couve refogada,Sim- tanto bares quanto restaurantes,Nao,"","","","","","",Prefere cerveja normal,"",328,"","","","","","","","","","","","",Sim- principalmente bares para cervejas e petiscos,Nao,localizacao,Media facilidade,"",4,3,,4,5,4,2,3,3,Amigos e familiares,"",Nao,NS/NI,Amigos,50,Feminino,Ate 1 SM (R$ 954),Fundamental  incompleto
